subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
187,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
189,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,1,1,1,2, ,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,2,2,1,2,5,2,1,1, ,1,,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1
199,1,1,2,1,2,1,1,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,1,3,2,1,2,1,1,1,2,1,2.00,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1
201,2,2,2,2,5,2,1,1,2,1,,1,1,2,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
202,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,2,1,1,2,5,2,2,1,2,1,,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1
206,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,1,1,2,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
209,1,2,1,1,2,1,1,1,1,2,4.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,1,1,1,1,2,1,1,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
213,2,1,2,3,4.5,2,2,2,3,3,5.00,2,2,1,1,3,2,3,2,1,1,3,2,1,1,3,3,1,1,3,1
214,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
215,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,1,1,1,1,2,1,1,1,2,2,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
218,2,1,1,1,2,1,2,1,1,1,2.00,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
219,2,2,2,2,4,2,1,1, ,1,,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
221,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
222,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,1,1,1,1,2,1,2,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
224,2,1,2,1,2,2,1,1,1,1,2.00,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,1,2,2,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227,1,2,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,2,1,2,2,4.5,2,2,2,3,2,5.00,2,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
231,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,1,2,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1
233,1,1,1,1,2,1,2,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,3,3,1,3,5,3,1,2,2,3,4.50,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
241,1,1,1,1,2,1,1,2,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,1,1,1,2,1,2,1,1,2,5.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
245,1,1,1,1,2,1,1,2,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
246,2,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
248,1,1,1,2,4,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
249,1,1,1,1,2,1,1,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,2,1,1,1,2,1,2,2,3,1,2.00,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
254,1,1,1,1,2,2,2,2,2,3,5.00,2,2,2,2,1,2,1,2,3,2,1,2,1,1,1,1,1,1,1,1
256,1,1,1,1,2,1,1,2,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2
