subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,urint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
281,1,1,1,3,4.5,1,1,2,2,2,4.5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
283,1,1,1,1,2,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1, ,1,1, ,1,1,1,2,1,1,1
284,2,1,2,2,5,2,1,2,1,3,5,1, ,2,1,2,1,1,2,3,2,2,1,1,1,3,2,1,1,1,1
285,1,1,1,2,4.5,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
286,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
288,1,1,1,1,2,1,1,1,1,2,4.5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
289,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
290,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1
291,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
292,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1
293,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
294,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,2,1,2,1,1, ,2,1, ,1,1,1,2,1,1,1
295,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
296,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
297,1,1,1,2,4,1,1,1,1,2,4.5,1,1,1,2,1,1,2,1,1, ,1,2,1,1,1,1,1,1,1,1
299, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
301,3,3,1,3,5,1,2,2, ,3,5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,3,1,2,1,1,2
304,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
305,1,1,1,3,4.5,1,1,2,1,2,4.5,2,1,2,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
308,1,1,1,1,2,1,1,1, ,1,2,1,1,3,2,1,1,2,2,1, ,1,1,1,1,2,1,1,1,1,1
309,1,1,1,2,4.5,1,2,2, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
310,1,2,1,1,2,2,1,2, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
311,3,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
312,2,2,1,2,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,2
314,2,2,1,2,5,2,2,2,2,2,5,2,1,1,1,2,2,1,1,3,1,1,2,1,1,1,1,2,1,3,1
315,1,1,1,2,4.5,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
316,2,2,1,3,4.5,2,1,2,3,2,4.5,2,1,1,2,2,1,1,1,2,1,1,1, ,2,1,1,2,2,1,1
317,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
318,1,1,1,2,4.5,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
319,3,3,1,2,5,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,3,1,1,1,1
321,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
322,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1, , ,1,1,1,2,1,1,1,2,1
324,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1
325,1,1,1,2,4.5,2,2,2,2,2, ,2,1,2,1,3,3,3,2,1, ,3,3,1,1,2,1,2,1,1,2
326,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
327,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
